		X                 	 Y 		              Z
-4.722458259181958E-03 -5.306146113404579E-03 1.623819811562028E-04
-4.715193676172494E-03 -5.308289083345077E-03 1.622543323001375E-04
-4.707928062689582E-03 -5.310423388661175E-03 1.621265485206897E-04
-4.700661383968847E-03 -5.312548990267528E-03 1.619986314968580E-04
-4.693393610402659E-03 -5.314665845921569E-03 1.618705835576960E-04
-4.686124718250159E-03 -5.316773910978051E-03 1.617424076848169E-04
-4.678854690231860E-03 -5.318873139339274E-03 1.616141074883800E-04
-4.671583515946793E-03 -5.320963484595074E-03 1.614856871513493E-04
-4.664311192044201E-03 -5.323044901323257E-03 1.613571513381831E-04
-4.657037722088217E-03 -5.325117346481231E-03 1.612285050679699E-04
-4.649763116076234E-03 -5.327180780794152E-03 1.610997535561378E-04
-4.642487389604286E-03 -5.329235170033060E-03 1.609709020328438E-04
-4.635210562710333E-03 -5.331280486077409E-03 1.608419555494859E-04
-4.627932658463598E-03 -5.333316707669618E-03 1.607129187871545E-04
-4.620653701399446E-03 -5.335343820793565E-03 1.605837958817019E-04
-4.613373715919571E-03 -5.337361818644097E-03 1.604545902791084E-04
-4.606092724780886E-03 -5.339370701199352E-03 1.603253046314993E-04
-4.598810747778206E-03 -5.341370474461670E-03 1.601959407380750E-04
-4.591527800690509E-03 -5.343361149461793E-03 1.600664995296168E-04
-4.584243894541216E-03 -5.345342741082560E-03 1.599369810965989E-04
-4.576959035174904E-03 -5.347315266851450E-03 1.598073847489297E-04
-4.569673223122353E-03 -5.349278745755007E-03 1.596777091003988E-04
-4.562386453716196E-03 -5.351233197151477E-03 1.595479521681459E-04
-4.555098717400419E-03 -5.353178639824378E-03 1.594181114784426E-04
-4.547810000175383E-03 -5.355115091199363E-03 1.592881841716127E-04
-4.540520284126459E-03 -5.357042566728661E-03 1.591581671009888E-04
-4.533229547992386E-03 -5.358961079434721E-03 1.590280569225465E-04
-4.525937767738339E-03 -5.360870639596640E-03 1.588978501733608E-04
-4.518644917107692E-03 -5.362771254558520E-03 1.587675433382008E-04
-4.511350968135278E-03 -5.364662928637656E-03 1.586371329044748E-04
-4.504055891612477E-03 -5.366545663111226E-03 1.585066154064100E-04
-4.496759657500508E-03 -5.368419456262424E-03 1.583759874596580E-04
-4.489462235291911E-03 -5.370284303469915E-03 1.582452457876729E-04
-4.482163594320928E-03 -5.372140197327093E-03 1.581143872410113E-04
-4.474863704025244E-03 -5.373987127779953E-03 1.579834088106973E-04
-4.467562534169561E-03 -5.375825082275922E-03 1.578523076372475E-04
-4.460260055028452E-03 -5.377654045916918E-03 1.577210810156621E-04
-4.452956237538335E-03 -5.379474001612306E-03 1.575897263976429E-04
-4.445651053421277E-03 -5.381284930228487E-03 1.574582413915569E-04
-4.438344475285056E-03 -5.383086810732968E-03 1.573266237607156E-04
-4.431036476703170E-03 -5.384879620331619E-03 1.571948714204295E-04
-4.423727032278011E-03 -5.386663334598332E-03 1.570629824341779E-04
-4.416416117689935E-03 -5.388437927596798E-03 1.569309550091861E-04
-4.409103709734602E-03 -5.390203371994350E-03 1.567987874916155E-04
-4.401789786350530E-03 -5.391959639168080E-03 1.566664783615371E-04
-4.394474326638546E-03 -5.393706699303591E-03 1.565340262278021E-04
-4.387157310874445E-03 -5.395444521486729E-03 1.564014298229167E-04
-4.379838720516023E-03 -5.397173073788758E-03 1.562686879979743E-04
-4.372518538205333E-03 -5.398892323345421E-03 1.561357997176955E-04
-4.365196747766962E-03 -5.400602236430301E-03 1.560027640556102E-04
-4.357873334202882E-03 -5.402302778522939E-03 1.558695801893986E-04
-4.350548283684340E-03 -5.403993914371991E-03 1.557362473964072E-04
-4.343221583541187E-03 -5.405675608053835E-03 1.556027650493433E-04
-4.335893222248900E-03 -5.407347823026855E-03 1.554691326121504E-04
-4.328563189413538E-03 -5.409010522181668E-03 1.553353496360689E-04
-4.321231475754788E-03 -5.410663667887448E-03 1.552014157558777E-04
